Date,Trade Volume,Trade Value,Opening Price,Highest Price,Lowest Price,Closing Price,Change,Transaction,title
2020/01/02,"33,282,120","11,224,165,450",332.50,339.00,332.50,339.00,+8.00,"17,160",2020/01  Daily Trading Value/Volume of 2330 
2020/01/03,"42,023,268","14,295,651,580",344.00,345.00,335.50,339.50,+0.50,"20,545",2020/01  Daily Trading Value/Volume of 2330 
2020/01/06,"45,677,057","15,210,531,318",333.00,334.50,332.00,332.00,-7.50,"22,944",2020/01  Daily Trading Value/Volume of 2330 
2020/01/07,"51,746,181","17,053,282,011",332.50,333.00,326.50,329.50,-2.50,"22,362",2020/01  Daily Trading Value/Volume of 2330 
2020/01/08,"37,913,748","12,484,410,088",325.00,333.00,325.00,329.50, 0.00,"18,228",2020/01  Daily Trading Value/Volume of 2330 
2020/01/09,"32,397,504","10,890,847,940",335.00,337.50,333.50,337.50,+8.00,"16,793",2020/01  Daily Trading Value/Volume of 2330 
2020/01/10,"27,880,115","9,432,320,316",340.50,341.00,336.00,339.50,+2.00,"13,296",2020/01  Daily Trading Value/Volume of 2330 
2020/01/13,"30,663,332","10,455,852,739",342.00,342.00,339.00,341.50,+2.00,"13,457",2020/01  Daily Trading Value/Volume of 2330 
2020/01/14,"30,368,993","10,488,360,978",345.50,346.00,344.50,346.00,+4.50,"16,339",2020/01  Daily Trading Value/Volume of 2330 
2020/01/15,"54,575,274","18,590,754,206",345.00,345.00,337.50,340.00,-6.00,"20,392",2020/01  Daily Trading Value/Volume of 2330 
2020/01/16,"58,217,420","19,431,133,895",330.00,336.50,330.00,334.50,-5.50,"24,721",2020/01  Daily Trading Value/Volume of 2330 
2020/01/17,"53,908,097","17,977,119,406",334.00,335.50,332.00,333.00,-1.50,"23,954",2020/01  Daily Trading Value/Volume of 2330 
2020/01/20,"35,551,203","11,865,436,839",334.00,335.50,333.00,333.00, 0.00,"15,095",2020/01  Daily Trading Value/Volume of 2330 
2020/01/30,"126,820,049","40,734,449,874",326.00,326.00,316.50,316.50,-16.50,"55,603",2020/01  Daily Trading Value/Volume of 2330 
2020/01/31,"62,912,055","20,205,365,710",323.00,323.50,319.00,320.00,+3.50,"22,639",2020/01  Daily Trading Value/Volume of 2330 
2020/02/03,"59,711,849","18,782,694,826",315.00,316.50,312.00,315.00,-5.00,"26,483",2020/02  Daily Trading Value/Volume of 2330 
2020/02/04,"52,208,496","16,882,411,296",319.00,326.00,318.00,325.00,+10.00,"22,587",2020/02  Daily Trading Value/Volume of 2330 
2020/02/05,"36,601,453","11,985,817,083",329.00,329.50,324.50,327.50,+2.50,"16,656",2020/02  Daily Trading Value/Volume of 2330 
2020/02/06,"29,659,094","9,803,038,836",329.50,332.50,329.00,332.50,+5.00,"14,246",2020/02  Daily Trading Value/Volume of 2330 
2020/02/07,"30,055,327","9,869,903,253",330.00,330.50,326.00,328.00,-4.50,"13,075",2020/02  Daily Trading Value/Volume of 2330 
2020/02/10,"30,814,424","10,024,967,927",321.50,328.00,321.00,327.50,-0.50,"14,825",2020/02  Daily Trading Value/Volume of 2330 
2020/02/11,"29,062,935","9,629,938,182",330.50,332.50,330.00,331.50,+4.00,"12,766",2020/02  Daily Trading Value/Volume of 2330 
2020/02/12,"37,612,639","12,593,082,711",333.50,336.00,333.00,335.00,+3.50,"17,394",2020/02  Daily Trading Value/Volume of 2330 
2020/02/13,"23,217,021","7,805,299,096",338.00,338.00,335.00,335.00, 0.00,"12,563",2020/02  Daily Trading Value/Volume of 2330 
2020/02/14,"18,326,683","6,155,862,838",337.00,337.00,334.50,335.00, 0.00,"7,881",2020/02  Daily Trading Value/Volume of 2330 
2020/02/17,"16,145,079","5,354,339,726",331.50,333.00,330.50,331.50,-3.50,"9,747",2020/02  Daily Trading Value/Volume of 2330 
2020/02/18,"64,662,604","20,957,801,150",324.50,326.50,322.00,322.00,-9.50,"36,520",2020/02  Daily Trading Value/Volume of 2330 
2020/02/19,"48,856,218","15,881,609,046",322.50,327.00,322.00,326.50,+4.50,"16,003",2020/02  Daily Trading Value/Volume of 2330 
2020/02/20,"27,061,736","8,832,642,641",328.00,329.00,325.00,325.50,-1.00,"11,695",2020/02  Daily Trading Value/Volume of 2330 
2020/02/21,"22,974,534","7,463,007,621",325.50,326.50,323.00,325.00,-0.50,"9,342",2020/02  Daily Trading Value/Volume of 2330 
2020/02/24,"42,946,680","13,754,512,932",319.50,321.50,319.50,320.00,-5.00,"18,902",2020/02  Daily Trading Value/Volume of 2330 
2020/02/25,"38,674,011","12,425,785,349",320.00,323.50,317.50,322.00,+2.00,"17,366",2020/02  Daily Trading Value/Volume of 2330 
2020/02/26,"60,768,362","19,341,695,595",317.00,320.50,316.50,318.50,-3.50,"24,310",2020/02  Daily Trading Value/Volume of 2330 
2020/02/27,"62,401,927","19,756,146,876",319.00,320.00,315.00,316.00,-2.50,"20,633",2020/02  Daily Trading Value/Volume of 2330 
2020/03/02,"86,372,942","26,864,484,400",308.00,317.00,308.00,311.00,-5.00,"35,320",2020/03  Daily Trading Value/Volume of 2330 
2020/03/03,"55,169,411","17,534,766,696",318.50,320.00,316.00,317.50,+6.50,"20,713",2020/03  Daily Trading Value/Volume of 2330 
